t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7936,1.0073,0.9522,0.9522,0.9522,1.0167,0.7892,0.7892,0.7300,0.7300,0.7892,0.7892,0.7892,0.7300,1.0045,0.7892,0.7892,0.2167,1.0049,1.0049,1.1543,1.1543,1.0049,1.0815
0.0000,0.0420,0.0396,0.0396,0.0396,0.0571,-0.2200,-0.2200,-0.0553,-0.0553,-0.2200,-0.2200,-0.2200,-0.0553,-0.1953,-0.2200,-0.2200,-0.2101,0.1342,0.1342,0.1774,0.1774,0.1342,0.0966
0.0201,0.0687,0.0642,0.0642,0.0642,0.0979,-0.1437,-0.1437,0.0306,0.0306,-0.1437,-0.1437,-0.1437,0.0306,0.0900,-0.1437,-0.1437,0.0076,0.1943,0.1943,0.1845,0.1845,0.1943,0.1291
0.0173,0.0668,0.0436,0.0436,0.0436,0.1142,-0.0241,-0.0241,-0.2288,-0.2288,-0.0241,-0.0241,-0.0241,-0.2288,0.0191,-0.0241,-0.0241,0.0005,0.1336,0.1336,0.0586,0.0586,0.1336,0.1773
0.0291,0.1165,0.0708,0.0708,0.0708,0.1558,0.0225,0.0225,0.0594,0.0594,0.0225,0.0225,0.0225,0.0594,-0.0444,0.0225,0.0225,-0.2615,0.1855,0.1855,0.0939,0.0939,0.1855,0.1963
0.0219,0.0620,0.0564,0.0564,0.0564,0.1024,0.0437,0.0437,-0.2276,-0.2276,0.0437,0.0437,0.0437,-0.2276,-0.0446,0.0437,0.0437,-0.3500,0.2108,0.2108,0.2487,0.2487,0.2108,0.1405
0.0000,0.1198,-0.0284,-0.0284,-0.0284,0.0619,-0.2246,-0.2246,-0.0312,-0.0312,0.0107,-0.0312,-0.0269,-0.0312,-0.0312,0.0107,-0.2246,-0.0312,0.1959,0.0979,0.1959,0.1573,0.1959,0.1573
0.0235,0.1384,0.0067,0.0067,0.0067,0.0676,0.0382,0.0382,-0.1854,-0.1854,0.0028,-0.1854,-0.2855,-0.1854,-0.1854,0.0028,0.0382,-0.1854,0.2576,0.0798,0.2576,0.1222,0.2576,0.1222
0.0229,0.1653,0.0019,0.0019,0.0019,0.0458,-0.0615,-0.0615,-0.0351,-0.0351,0.0972,-0.0351,-0.1671,-0.0351,-0.0351,0.0972,-0.0615,-0.0351,0.0742,0.1290,0.0742,0.0837,0.0742,0.0837
0.0217,0.1303,-0.0010,-0.0010,-0.0010,0.0571,-0.1897,-0.1897,-0.0612,-0.0612,0.0321,-0.0612,-0.1591,-0.0612,-0.0612,0.0321,-0.1897,-0.0612,0.1324,0.0454,0.1324,0.1883,0.1324,0.1883
0.0132,0.0710,-0.0105,-0.0105,-0.0105,0.0702,-0.2104,-0.2104,-0.0676,-0.0676,0.1050,-0.0676,-0.1830,-0.0676,-0.0676,0.1050,-0.2104,-0.0676,0.1193,0.0085,0.1193,0.2700,0.1193,0.2700
0.6219,0.7173,0.6483,0.6483,0.6483,0.7667,0.5100,0.5100,0.6462,0.6462,0.5100,0.5100,0.5100,0.6462,0.5096,0.5100,0.5100,0.6302,0.8217,0.8217,0.8190,0.8190,0.8217,0.9306
0.0014,0.0403,0.0474,0.0474,0.0474,0.0933,-0.1089,-0.1089,-0.1178,-0.1178,-0.1089,-0.1089,-0.1089,-0.1178,-0.0613,-0.1089,-0.1089,-0.4511,0.0900,0.0900,0.1682,0.1682,0.0900,0.1859
0.0224,0.0767,0.0605,0.0605,0.0605,0.1083,-0.1631,-0.1631,-0.1257,-0.1257,-0.1631,-0.1631,-0.1631,-0.1257,-0.0203,-0.1631,-0.1631,-0.2519,0.2194,0.2194,0.0681,0.0681,0.2194,0.1291
